MTU (CET/CEST),Area,Resolution,Price,Currency
              08/01/2022 01:00 - 08/01/2022 02:00,BZN|CH,PT60M,205.15,EUR
              08/01/2022 02:00 - 08/01/2022 03:00,BZN|CH,PT60M,202.22,EUR
              08/01/2022 03:00 - 08/01/2022 04:00,BZN|CH,PT60M,202.01,EUR
              08/01/2022 04:00 - 08/01/2022 05:00,BZN|CH,PT60M,199.93,EUR
              08/01/2022 05:00 - 08/01/2022 06:00,BZN|CH,PT60M,201.88,EUR
              08/01/2022 06:00 - 08/01/2022 07:00,BZN|CH,PT60M,202.02,EUR
              08/01/2022 07:00 - 08/01/2022 08:00,BZN|CH,PT60M,220.73,EUR
              08/01/2022 08:00 - 08/01/2022 09:00,BZN|CH,PT60M,228.09,EUR
              08/01/2022 09:00 - 08/01/2022 10:00,BZN|CH,PT60M,245.26,EUR
              08/01/2022 10:00 - 08/01/2022 11:00,BZN|CH,PT60M,227.48,EUR
              08/01/2022 11:00 - 08/01/2022 12:00,BZN|CH,PT60M,222.45,EUR
              08/01/2022 12:00 - 08/01/2022 13:00,BZN|CH,PT60M,214.57,EUR
              08/01/2022 13:00 - 08/01/2022 14:00,BZN|CH,PT60M,209.47,EUR
              08/01/2022 14:00 - 08/01/2022 15:00,BZN|CH,PT60M,212.63,EUR
              08/01/2022 15:00 - 08/01/2022 16:00,BZN|CH,PT60M,218.00,EUR
              08/01/2022 16:00 - 08/01/2022 17:00,BZN|CH,PT60M,227.75,EUR
              08/01/2022 17:00 - 08/01/2022 18:00,BZN|CH,PT60M,255.16,EUR
              08/01/2022 18:00 - 08/01/2022 19:00,BZN|CH,PT60M,259.80,EUR
              08/01/2022 19:00 - 08/01/2022 20:00,BZN|CH,PT60M,261.57,EUR
              08/01/2022 20:00 - 08/01/2022 21:00,BZN|CH,PT60M,242.47,EUR
              08/01/2022 21:00 - 08/01/2022 22:00,BZN|CH,PT60M,222.54,EUR
              08/01/2022 22:00 - 08/01/2022 23:00,BZN|CH,PT60M,215.78,EUR
              08/01/2022 23:00 - 09/01/2022 00:00,BZN|CH,PT60M,203.24,EUR
              09/01/2022 00:00 - 09/01/2022 01:00,BZN|CH,PT60M,219.26,EUR
              09/01/2022 01:00 - 09/01/2022 02:00,BZN|CH,PT60M,205.11,EUR
              09/01/2022 02:00 - 09/01/2022 03:00,BZN|CH,PT60M,195.97,EUR
              09/01/2022 03:00 - 09/01/2022 04:00,BZN|CH,PT60M,178.72,EUR
              09/01/2022 04:00 - 09/01/2022 05:00,BZN|CH,PT60M,177.77,EUR
              09/01/2022 05:00 - 09/01/2022 06:00,BZN|CH,PT60M,180.46,EUR
              09/01/2022 06:00 - 09/01/2022 07:00,BZN|CH,PT60M,200.41,EUR
              09/01/2022 07:00 - 09/01/2022 08:00,BZN|CH,PT60M,179.95,EUR
              09/01/2022 08:00 - 09/01/2022 09:00,BZN|CH,PT60M,183.99,EUR
